,id,name,bred_for,breed_group,life_span,temperament,origin,reference_image_id,weight.imperial,weight.metric,height.imperial,height.metric,image.id,image.width,image.height,image.url,country_code,description,history,lifespan_min,lifespan_max,imperial_weight_min,imperial_weight_max,imperial_height_min,imperial_height_max,metric_weight_min,metric_weight_max,metric_height_min,metric_height_max
10,11,American Bully,Family companion dog,,8 - 15 years,"Strong Willed, Stubborn, Friendly, Clownish, Affectionate, Loyal, Obedient, Intelligent, Courageous",,sqQJDtbpY,30 - 150,14 - 68,14 - 17,36 - 43,sqQJDtbpY,1024,683,https://cdn2.thedogapi.com/images/sqQJDtbpY.jpg,US,,,8,15,30,150,14,17,14,68,36,43
11,12,American Eskimo Dog,Circus performer,Non-Sporting,12 - 15 years,"Friendly, Alert, Reserved, Intelligent, Protective",,Bymjyec4m,20 - 40,9 - 18,15 - 19,38 - 48,Bymjyec4m,1000,802,https://cdn2.thedogapi.com/images/Bymjyec4m.jpg,US,,,12,15,20,40,15,19,9,18,38,48
12,13,American Eskimo Dog (Miniature),Companionship,,13 - 15 years,"Friendly, Alert, Reserved, Intelligent, Protective",,_gn8GLrE6,7 - 10,3 - 5,9 - 12,23 - 30,_gn8GLrE6,730,487,https://cdn2.thedogapi.com/images/_gn8GLrE6.jpg,US,,,13,15,7,10,9,12,3,5,23,30
13,14,American Foxhound,"Fox hunting, scent hound",Hound,8 - 15 years,"Kind, Sweet-Tempered, Loyal, Independent, Intelligent, Loving",,S14n1x9NQ,65 - 75,29 - 34,21 - 28,53 - 71,S14n1x9NQ,3000,2400,https://cdn2.thedogapi.com/images/S14n1x9NQ.jpg,US,,,8,15,65,75,21,28,29,34,53,71
14,15,American Pit Bull Terrier,Fighting,Terrier,10 - 15 years,"Strong Willed, Stubborn, Friendly, Clownish, Affectionate, Loyal, Obedient, Intelligent, Courageous",,HkC31gcNm,30 - 60,14 - 27,17 - 21,43 - 53,HkC31gcNm,300,244,https://cdn2.thedogapi.com/images/HkC31gcNm.png,US,,,10,15,30,60,17,21,14,27,43,53
15,16,American Staffordshire Terrier,,Terrier,12 - 15 years,"Tenacious, Friendly, Devoted, Loyal, Attentive, Courageous",,rJIakgc4m,50 - 60,23 - 27,17 - 19,43 - 48,rJIakgc4m,357,500,https://cdn2.thedogapi.com/images/rJIakgc4m.jpg,US,,,12,15,50,60,17,19,23,27,43,48
16,17,American Water Spaniel,Bird flushing and retrieving,Sporting,10 - 12 years,"Friendly, Energetic, Obedient, Intelligent, Protective, Trainable",,SkmRJl9VQ,25 - 45,11 - 20,15 - 18,38 - 46,SkmRJl9VQ,1600,1264,https://cdn2.thedogapi.com/images/SkmRJl9VQ.jpg,US,,,10,12,25,45,15,18,11,20,38,46
17,18,Anatolian Shepherd Dog,Livestock herding,Working,11 - 13 years,"Steady, Bold, Independent, Confident, Intelligent, Proud",,BJT0Jx5Nm,80 - 150,36 - 68,27 - 29,69 - 74,BJT0Jx5Nm,1216,1131,https://cdn2.thedogapi.com/images/BJT0Jx5Nm.jpg,,,,11,13,80,150,27,29,36,68,69,74
18,19,Appenzeller Sennenhund,"Herding livestock, pulling carts, and guarding the farm",,12 - 14 years,"Reliable, Fearless, Energetic, Lively, Self-assured",,HkNkxlqEX,48 - 55,22 - 25,20 - 22,51 - 56,HkNkxlqEX,400,600,https://cdn2.thedogapi.com/images/HkNkxlqEX.jpg,,,,12,14,48,55,20,22,22,25,51,56
19,21,Australian Cattle Dog,"Cattle herding, herding trials",Herding,12 - 14 years,"Cautious, Energetic, Loyal, Obedient, Protective, Brave",,IBkYVm4v1,44 - 62,20 - 28,17 - 20,43 - 51,IBkYVm4v1,736,850,https://cdn2.thedogapi.com/images/IBkYVm4v1.jpg,AU,,,12,14,44,62,17,20,20,28,43,51
20,22,Australian Kelpie,"Farm dog, Cattle herding",Herding,10 - 13 years,"Friendly, Energetic, Alert, Loyal, Intelligent, Eager",,Hyq1ge9VQ,31 - 46,14 - 21,17 - 20,43 - 51,Hyq1ge9VQ,800,533,https://cdn2.thedogapi.com/images/Hyq1ge9VQ.jpg,AU,,,10,13,31,46,17,20,14,21,43,51
21,23,Australian Shepherd,Sheep herding,Herding,12 - 16 years,"Good-natured, Affectionate, Intelligent, Active, Protective",,B1-llgq4m,35 - 65,16 - 29,18 - 23,46 - 58,B1-llgq4m,1200,733,https://cdn2.thedogapi.com/images/B1-llgq4m.jpg,AU,,,12,16,35,65,18,23,16,29,46,58
22,24,Australian Terrier,"Cattle herdering, hunting snakes and rodents",Terrier,15 years,"Spirited, Alert, Loyal, Companionable, Even Tempered, Courageous",,r1Ylge5Vm,14 - 16,6 - 7,10 - 11,25 - 28,r1Ylge5Vm,1081,720,https://cdn2.thedogapi.com/images/r1Ylge5Vm.jpg,AU,,,15,,14,16,10,11,6,7,25,28
23,25,Azawakh,"Livestock guardian, hunting",Hound,10 - 13 years,"Aloof, Affectionate, Attentive, Rugged, Fierce, Refined",,SkvZgx94m,33 - 55,15 - 25,23 - 29,58 - 74,SkvZgx94m,1024,768,https://cdn2.thedogapi.com/images/SkvZgx94m.jpg,,,,10,13,33,55,23,29,15,25,58,74
24,26,Barbet,Hunting water game,,13 - 15 years,"Obedient, Companionable, Intelligent, Joyful",,HyWGexcVQ,40 - 65,18 - 29,20 - 26,51 - 66,HyWGexcVQ,853,1280,https://cdn2.thedogapi.com/images/HyWGexcVQ.jpg,,,,13,15,40,65,20,26,18,29,51,66
25,28,Basenji,Hunting,Hound,10 - 12 years,"Affectionate, Energetic, Alert, Curious, Playful, Intelligent",,H1dGlxqNQ,22 - 24,10 - 11,16 - 17,41 - 43,H1dGlxqNQ,740,493,https://cdn2.thedogapi.com/images/H1dGlxqNQ.jpg,,,,10,12,22,24,16,17,10,11,41,43
26,29,Basset Bleu de Gascogne,Hunting on foot.,Hound,10 - 14 years,"Affectionate, Lively, Agile, Curious, Happy, Active",,BkMQll94X,35 - 40,16 - 18,13 - 15,33 - 38,BkMQll94X,1280,853,https://cdn2.thedogapi.com/images/BkMQll94X.jpg,,,,10,14,35,40,13,15,16,18,33,38
27,30,Basset Hound,Hunting by scent,Hound,12 - 15 years,"Tenacious, Friendly, Affectionate, Devoted, Sweet-Tempered, Gentle",,Sy57xx9EX,50 - 65,23 - 29,14,36,Sy57xx9EX,1024,640,https://cdn2.thedogapi.com/images/Sy57xx9EX.jpg,,,,12,15,50,65,14,,23,29,36,
28,31,Beagle,"Rabbit, hare hunting",Hound,13 - 16 years,"Amiable, Even Tempered, Excitable, Determined, Gentle, Intelligent",,Syd4xxqEm,20 - 35,9 - 16,13 - 15,33 - 38,Syd4xxqEm,1000,667,https://cdn2.thedogapi.com/images/Syd4xxqEm.jpg,,,,13,16,20,35,13,15,9,16,33,38
29,32,Bearded Collie,Sheep herding,Herding,12 - 14 years,"Self-confidence, Hardy, Lively, Alert, Intelligent, Active",,A09F4c1qP,45 - 55,20 - 25,20 - 22,51 - 56,A09F4c1qP,733,733,https://cdn2.thedogapi.com/images/A09F4c1qP.jpg,,,,12,14,45,55,20,22,20,25,51,56
30,33,Beauceron,"Boar herding, hunting, guarding",Herding,10 - 12 years,"Fearless, Friendly, Intelligent, Protective, Calm",,HJQ8ge5V7,80 - 110,36 - 50,24 - 27.5,61 - 70,HJQ8ge5V7,720,563,https://cdn2.thedogapi.com/images/HJQ8ge5V7.jpg,,,,10,12,80,110,24,27.5,36,50,61,70
31,34,Bedlington Terrier,"Killing rat, badger, other vermin",Terrier,14 - 16 years,"Affectionate, Spirited, Intelligent, Good-tempered",,ByK8gx947,17 - 23,8 - 10,15 - 16,38 - 41,ByK8gx947,804,531,https://cdn2.thedogapi.com/images/ByK8gx947.jpg,,,,14,16,17,23,15,16,8,10,38,41
32,36,Belgian Malinois,Stock herding,Herding,12 - 14 years,"Watchful, Alert, Stubborn, Friendly, Confident, Hard-working, Active, Protective",,r1f_ll5VX,40 - 80,18 - 36,22 - 26,56 - 66,r1f_ll5VX,604,453,https://cdn2.thedogapi.com/images/r1f_ll5VX.jpg,,,,12,14,40,80,22,26,18,36,56,66
33,38,Belgian Tervuren,"Guarding, Drafting, Police work.",Herding,10 - 12 years,"Energetic, Alert, Loyal, Intelligent, Attentive, Protective",,B1KdxlcNX,40 - 65,18 - 29,22 - 26,56 - 66,B1KdxlcNX,645,380,https://cdn2.thedogapi.com/images/B1KdxlcNX.jpg,,,,10,12,40,65,22,26,18,29,56,66
34,41,Bernese Mountain Dog,Draft work,Working,7 - 10 years,"Affectionate, Loyal, Intelligent, Faithful",,S1fFlx5Em,65 - 120,29 - 54,23 - 27.5,58 - 70,S1fFlx5Em,640,427,https://cdn2.thedogapi.com/images/S1fFlx5Em.jpg,,,,7,10,65,120,23,27.5,29,54,58,70
35,42,Bichon Frise,Companion,Non-Sporting,15 years,"Feisty, Affectionate, Cheerful, Playful, Gentle, Sensitive",,HkuYlxqEQ,10 - 18,5 - 8,9.5 - 11.5,24 - 29,HkuYlxqEQ,480,360,https://cdn2.thedogapi.com/images/HkuYlxqEQ.jpg,,,,15,,10,18,9.5,11.5,5,8,24,29
36,43,Black and Tan Coonhound,"Hunting raccoons, night hunting",Hound,10 - 12 years,"Easygoing, Gentle, Adaptable, Trusting, Even Tempered, Lovable",,HJAFgxcNQ,65 - 100,29 - 45,23 - 27,58 - 69,HJAFgxcNQ,556,380,https://cdn2.thedogapi.com/images/HJAFgxcNQ.jpg,,,,10,12,65,100,23,27,29,45,58,69
37,45,Bloodhound,Trailing,Hound,8 - 10 years,"Stubborn, Affectionate, Gentle, Even Tempered",,Skdcgx9VX,80 - 110,36 - 50,23 - 27,58 - 69,Skdcgx9VX,586,600,https://cdn2.thedogapi.com/images/Skdcgx9VX.jpg,,,,8,10,80,110,23,27,36,50,58,69
38,47,Bluetick Coonhound,Hunting with a serior sense of smell.,Hound,12 - 14 years,"Friendly, Intelligent, Active",,rJxieg9VQ,45 - 80,20 - 36,21 - 27,53 - 69,rJxieg9VQ,731,599,https://cdn2.thedogapi.com/images/rJxieg9VQ.jpg,,,,12,14,45,80,21,27,20,36,53,69
39,48,Boerboel,"Guarding the homestead, farm work.",Working,10 - 12 years,"Obedient, Confident, Intelligent, Dominant, Territorial",,HyOjge5Vm,110 - 200,50 - 91,22 - 27,56 - 69,HyOjge5Vm,1200,669,https://cdn2.thedogapi.com/images/HyOjge5Vm.jpg,,,,10,12,110,200,22,27,50,91,56,69
40,50,Border Collie,Sheep herder,Herding,12 - 16 years,"Tenacious, Keen, Energetic, Responsive, Alert, Intelligent",,sGQvQUpsp,30 - 45,14 - 20,18 - 22,46 - 56,sGQvQUpsp,1080,1080,https://cdn2.thedogapi.com/images/sGQvQUpsp.jpg,,,,12,16,30,45,18,22,14,20,46,56
41,51,Border Terrier,"Fox bolting, ratting",Terrier,12 - 14 years,"Fearless, Affectionate, Alert, Obedient, Intelligent, Even Tempered",,HJOpge9Em,11.5 - 15.5,5 - 7,11 - 16,28 - 41,HJOpge9Em,674,450,https://cdn2.thedogapi.com/images/HJOpge9Em.jpg,,,,12,14,11.5,15.5,11,16,5,7,28,41
42,53,Boston Terrier,"Ratting, Companionship",Non-Sporting,11 - 13 years,"Friendly, Lively, Intelligent",,rkZRggqVX,10 - 25,5 - 11,16 - 17,41 - 43,rkZRggqVX,1010,673,https://cdn2.thedogapi.com/images/rkZRggqVX.jpg,,,,11,13,10,25,16,17,5,11,41,43
43,54,Bouvier des Flandres,Cattle herding,Herding,10 - 15 years,"Protective, Loyal, Gentle, Intelligent, Familial, Rational",,Byd0xl5VX,70 - 110,32 - 50,23.5 - 27.5,60 - 70,Byd0xl5VX,680,454,https://cdn2.thedogapi.com/images/Byd0xl5VX.jpg,,,,10,15,70,110,23.5,27.5,32,50,60,70
44,55,Boxer,"Bull-baiting, guardian",Working,8 - 10 years,"Devoted, Fearless, Friendly, Cheerful, Energetic, Loyal, Playful, Confident, Intelligent, Bright, Brave, Calm",,ry1kWe5VQ,50 - 70,23 - 32,21.5 - 25,55 - 64,ry1kWe5VQ,645,430,https://cdn2.thedogapi.com/images/ry1kWe5VQ.jpg,,,,8,10,50,70,21.5,25,23,32,55,64
45,56,Boykin Spaniel,Turkey retrieving,Sporting,10 - 14 years,"Friendly, Energetic, Companionable, Intelligent, Eager, Trainable",,ryHJZlcNX,25 - 40,11 - 18,14 - 18,36 - 46,ryHJZlcNX,577,634,https://cdn2.thedogapi.com/images/ryHJZlcNX.jpg,,,,10,14,25,40,14,18,11,18,36,46
46,57,Bracco Italiano,Versatile gun dog,Sporting,10 - 12 years,"Stubborn, Affectionate, Loyal, Playful, Companionable, Trainable",,S13yZg5VQ,55 - 88,25 - 40,21.5 - 26.5,55 - 67,S13yZg5VQ,750,505,https://cdn2.thedogapi.com/images/S13yZg5VQ.jpg,,,,10,12,55,88,21.5,26.5,25,40,55,67
47,58,Briard,"Herding, guarding sheep",Herding,10 - 12 years,"Fearless, Loyal, Obedient, Intelligent, Faithful, Protective",,rkVlblcEQ,70 - 90,32 - 41,22 - 27,56 - 69,rkVlblcEQ,768,576,https://cdn2.thedogapi.com/images/rkVlblcEQ.jpg,,,,10,12,70,90,22,27,32,41,56,69
48,59,Brittany,"Pointing, retrieving",Sporting,12 - 14 years,"Agile, Adaptable, Quick, Intelligent, Attentive, Happy",,HJWZZxc4X,30 - 45,14 - 20,17.5 - 20.5,44 - 52,HJWZZxc4X,900,600,https://cdn2.thedogapi.com/images/HJWZZxc4X.jpg,,,,12,14,30,45,17.5,20.5,14,20,44,52
49,61,Bull Terrier,"Bull baiting, Fighting",Terrier,10 - 12 years,"Trainable, Protective, Sweet-Tempered, Keen, Active",,VSraIEQGd,50 - 70,23 - 32,21 - 22,53 - 56,VSraIEQGd,1080,1080,https://cdn2.thedogapi.com/images/VSraIEQGd.jpg,,,,10,12,50,70,21,22,23,32,53,56
50,62,Bull Terrier (Miniature),An elegant man's fashion statement,,11 - 14 years,"Trainable, Protective, Sweet-Tempered, Keen, Active, Territorial",,BkKZWlcVX,25 - 33,11 - 15,10 - 14,25 - 36,BkKZWlcVX,674,450,https://cdn2.thedogapi.com/images/BkKZWlcVX.jpg,,,,11,14,25,33,10,14,11,15,25,36
51,64,Bullmastiff,Estate guardian,Working,8 - 12 years,"Docile, Reliable, Devoted, Alert, Loyal, Reserved, Loving, Protective, Powerful, Calm, Courageous",,r1ifZl5E7,100 - 130,45 - 59,24 - 27,61 - 69,r1ifZl5E7,850,638,https://cdn2.thedogapi.com/images/r1ifZl5E7.jpg,,,,8,12,100,130,24,27,45,59,61,69
52,65,Cairn Terrier,"Bolting of otter, foxes, other vermin",Terrier,14 - 15 years,"Hardy, Fearless, Assertive, Gay, Intelligent, Active",,Sk7Qbg9E7,13 - 14,6 - 6,9 - 10,23 - 25,Sk7Qbg9E7,1254,836,https://cdn2.thedogapi.com/images/Sk7Qbg9E7.jpg,,,,14,15,13,14,9,10,6,6,23,25
53,67,Cane Corso,"Companion, guard dog, and hunter",Working,10 - 11 years,"Trainable, Reserved, Stable, Quiet, Even Tempered, Calm",,r15m-lc4m,88 - 120,40 - 54,23.5 - 27.5,60 - 70,r15m-lc4m,645,380,https://cdn2.thedogapi.com/images/r15m-lc4m.jpg,,,,10,11,88,120,23.5,27.5,40,54,60,70
54,68,Cardigan Welsh Corgi,Cattle droving,Herding,12 - 14 years,"Affectionate, Devoted, Alert, Companionable, Intelligent, Active",,SyXN-e9NX,25 - 38,11 - 17,10.5 - 12.5,27 - 32,SyXN-e9NX,800,600,https://cdn2.thedogapi.com/images/SyXN-e9NX.jpg,,,,12,14,25,38,10.5,12.5,11,17,27,32
55,69,Catahoula Leopard Dog,Driving livestock,Herding,10 - 12 years,"Energetic, Inquisitive, Independent, Gentle, Intelligent, Loving",,BJcNbec4X,50 - 95,23 - 43,20 - 26,51 - 66,BJcNbec4X,650,650,https://cdn2.thedogapi.com/images/BJcNbec4X.jpg,,,,10,12,50,95,20,26,23,43,51,66
56,70,Caucasian Shepherd (Ovcharka),"Guard dogs, defending sheep from predators, mainly wolves, jackals and bears",Working,10 - 12 years,"Alert, Quick, Dominant, Powerful, Calm, Strong",,r1rrWe5Em,80 - 100,36 - 45,24 - 33.5,61 - 85,r1rrWe5Em,1024,682,https://cdn2.thedogapi.com/images/r1rrWe5Em.jpg,,,,10,12,80,100,24,33.5,36,45,61,85
57,71,Cavalier King Charles Spaniel,"Flushing small birds, companion",Toy,10 - 14 years,"Fearless, Affectionate, Sociable, Patient, Playful, Adaptable",,HJRBbe94Q,13 - 18,6 - 8,12 - 13,30 - 33,HJRBbe94Q,961,558,https://cdn2.thedogapi.com/images/HJRBbe94Q.jpg,,,,10,14,13,18,12,13,6,8,30,33
58,76,Chesapeake Bay Retriever,Water Retriever,Sporting,10 - 13 years,"Affectionate, Intelligent, Quiet, Dominant, Happy, Protective",,9BXwUeCc2,55 - 80,25 - 36,21 - 26,53 - 66,9BXwUeCc2,600,600,https://cdn2.thedogapi.com/images/9BXwUeCc2.jpg,,,,10,13,55,80,21,26,25,36,53,66
59,78,Chinese Crested,"Ratting, lapdog, curio",Toy,10 - 14 years,"Affectionate, Sweet-Tempered, Lively, Alert, Playful, Happy",,B1pDZx9Nm,10 - 13,5 - 6,11 - 13,28 - 33,B1pDZx9Nm,1200,798,https://cdn2.thedogapi.com/images/B1pDZx9Nm.jpg,,,,10,14,10,13,11,13,5,6,28,33
60,79,Chinese Shar-Pei,Fighting,Non-Sporting,10 years,"Suspicious, Affectionate, Devoted, Reserved, Independent, Loving",,B1ruWl94Q,45 - 60,20 - 27,18 - 20,46 - 51,B1ruWl94Q,1049,761,https://cdn2.thedogapi.com/images/B1ruWl94Q.jpg,,,,10,,45,60,18,20,20,27,46,51
61,80,Chinook,Sled pulling,Working,12 - 15 years,"Friendly, Alert, Dignified, Intelligent, Calm",,Sypubg54Q,50 - 90,23 - 41,22 - 26,56 - 66,Sypubg54Q,600,478,https://cdn2.thedogapi.com/images/Sypubg54Q.jpg,,,,12,15,50,90,22,26,23,41,56,66
62,81,Chow Chow,"Guardian, cart pulling, hunting",Non-Sporting,12 - 15 years,"Aloof, Loyal, Independent, Quiet",,ry8KWgqEQ,40 - 70,18 - 32,17 - 20,43 - 51,ry8KWgqEQ,1010,673,https://cdn2.thedogapi.com/images/ry8KWgqEQ.jpg,,,,12,15,40,70,17,20,18,32,43,51
63,84,Clumber Spaniel,"Bird flushing, retrieving",Sporting,10 - 12 years,"Affectionate, Loyal, Dignified, Gentle, Calm, Great-hearted",,rkeqWgq4Q,55 - 85,25 - 39,17 - 20,43 - 51,rkeqWgq4Q,762,533,https://cdn2.thedogapi.com/images/rkeqWgq4Q.jpg,,,,10,12,55,85,17,20,25,39,43,51
64,86,Cocker Spaniel,"Bird flushing, retrieving",Sporting,12 - 15 years,"Trainable, Friendly, Affectionate, Playful, Quiet, Faithful",,1lFmrzECl,20 - 30,9 - 14,14 - 15,36 - 38,1lFmrzECl,1080,1080,https://cdn2.thedogapi.com/images/1lFmrzECl.jpg,,,,12,15,20,30,14,15,9,14,36,38
65,87,Cocker Spaniel (American),Hunting the American woodcock,Sporting,12 - 15 years,"Outgoing, Sociable, Trusting, Joyful, Even Tempered, Merry",,HkRcZe547,20 - 30,9 - 14,14 - 15,36 - 38,HkRcZe547,1024,640,https://cdn2.thedogapi.com/images/HkRcZe547.jpg,,,,12,15,20,30,14,15,9,14,36,38
66,89,Coton de Tulear,"Accompanying ladies on long sea voyages, ratters onboard ship.",Non-Sporting,13 - 16 years,"Affectionate, Lively, Playful, Intelligent, Trainable, Vocal",,SyviZlqNm,9 - 15,4 - 7,9 - 11,23 - 28,SyviZlqNm,2464,1638,https://cdn2.thedogapi.com/images/SyviZlqNm.jpg,,,,13,16,9,15,9,11,4,7,23,28
67,92,Dalmatian,Carriage dog - trot alongside carriages to protect the occants from banditry or other interference,Non-Sporting,10 - 13 years,"Outgoing, Friendly, Energetic, Playful, Sensitive, Intelligent, Active",,SkJ3blcN7,50 - 55,23 - 25,19 - 23,48 - 58,SkJ3blcN7,1200,800,https://cdn2.thedogapi.com/images/SkJ3blcN7.jpg,,,,10,13,50,55,19,23,23,25,48,58
68,94,Doberman Pinscher,Guardian,Working,10 years,"Fearless, Energetic, Alert, Loyal, Obedient, Confident, Intelligent",,HyL3bl94Q,66 - 88,30 - 40,24 - 28,61 - 71,HyL3bl94Q,1140,640,https://cdn2.thedogapi.com/images/HyL3bl94Q.jpg,,,,10,,66,88,24,28,30,40,61,71
69,95,Dogo Argentino,Big-game hunting,Working,10 - 12 years,"Friendly, Affectionate, Cheerful, Loyal, Tolerant, Protective",,S1nhWx94Q,80 - 100,36 - 45,23.5 - 27,60 - 69,S1nhWx94Q,650,467,https://cdn2.thedogapi.com/images/S1nhWx94Q.jpg,,,,10,12,80,100,23.5,27,36,45,60,69
70,98,Dutch Shepherd,"Farms, watchdog, guard duty",,15 years,"Reliable, Affectionate, Alert, Loyal, Obedient, Trainable",,BkE6Wg5E7,50 - 70,23 - 32,22 - 24.5,56 - 62,BkE6Wg5E7,856,511,https://cdn2.thedogapi.com/images/BkE6Wg5E7.jpg,,,,15,,50,70,22,24.5,23,32,56,62
71,101,English Setter,"Bird setting, retrieving",Sporting,12 years,"Strong Willed, Mischievous, Affectionate, Energetic, Playful, Companionable, Gentle, Hard-working, Intelligent, Eager, People-Oriented",,By4A-eqVX,45 - 80,20 - 36,24 - 25,61 - 64,By4A-eqVX,1024,683,https://cdn2.thedogapi.com/images/By4A-eqVX.jpg,,,,12,,45,80,24,25,20,36,61,64
72,102,English Shepherd,"Herding & guarding livestock, farm watch dog",Working,10 - 13 years,"Kind, Energetic, Independent, Adaptable, Intelligent, Bossy",,H1QyMe5EQ,44 - 66,20 - 30,18 - 23,46 - 58,H1QyMe5EQ,1920,1280,https://cdn2.thedogapi.com/images/H1QyMe5EQ.jpg,,,,10,13,44,66,18,23,20,30,46,58
73,103,English Springer Spaniel,"Bird flushing, retrieving",Sporting,12 - 14 years,"Affectionate, Cheerful, Alert, Intelligent, Attentive, Active",,Hk0Jfe5VQ,35 - 50,16 - 23,19 - 20,48 - 51,Hk0Jfe5VQ,1440,1080,https://cdn2.thedogapi.com/images/Hk0Jfe5VQ.jpg,,,,12,14,35,50,19,20,16,23,48,51
74,104,English Toy Spaniel,Companion of kings,Toy,10 - 12 years,"Affectionate, Reserved, Playful, Gentle, Happy, Loving",,SkIgzxqNQ,8 - 14,4 - 6,10,25,SkIgzxqNQ,800,696,https://cdn2.thedogapi.com/images/SkIgzxqNQ.jpg,,,,10,12,8,14,10,,4,6,25,
75,105,English Toy Terrier,Rat-baiting,,12 - 13 years,"Stubborn, Alert, Companionable, Intelligent, Cunning, Trainable",,SJ6eMxqEQ,6 - 8,3 - 4,10 - 12,25 - 30,SJ6eMxqEQ,645,430,https://cdn2.thedogapi.com/images/SJ6eMxqEQ.jpg,,,,12,13,6,8,10,12,3,4,25,30
76,107,Eurasier,Companionship,Non-Sporting,12 - 14 years,"Alert, Reserved, Intelligent, Even Tempered, Watchful, Calm",,S1VWGx9Nm,40 - 70,18 - 32,20.5 - 23.5,52 - 60,S1VWGx9Nm,800,532,https://cdn2.thedogapi.com/images/S1VWGx9Nm.jpg,,,,12,14,40,70,20.5,23.5,18,32,52,60
77,108,Field Spaniel,"Bird flushing, retrieving",Sporting,11 - 15 years,"Docile, Cautious, Sociable, Sensitive, Adaptable, Familial",,SkJfGecE7,35 - 50,16 - 23,17 - 18,43 - 46,SkJfGecE7,1280,906,https://cdn2.thedogapi.com/images/SkJfGecE7.jpg,,,,11,15,35,50,17,18,16,23,43,46
