id,imperial_weight_min,imperial_weight_max,metric_weight_min,metric_weight_max,imperial_height_min,imperial_height_max,metric_height_min,metric_height_max,name,bred_for,breed_group,life_span_min,life_span_max,temperament,origin,reference_image_id,image,country_code
30,50,65,23,29,14,14,36,36,Basset Hound,Hunting by scent,Hound,12,15,"Tenacious, Friendly, Affectionate, Devoted, Sweet-Tempered, Gentle",,Sy57xx9EX,"{'id': 'Sy57xx9EX', 'width': 1024, 'height': 640, 'url': 'https://cdn2.thedogapi.com/images/Sy57xx9EX.jpg'}",
31,20,35,9,16,13,15,33,38,Beagle,"Rabbit, hare hunting",Hound,13,16,"Amiable, Even Tempered, Excitable, Determined, Gentle, Intelligent",,Syd4xxqEm,"{'id': 'Syd4xxqEm', 'width': 1000, 'height': 667, 'url': 'https://cdn2.thedogapi.com/images/Syd4xxqEm.jpg'}",
32,45,55,20,25,20,22,51,56,Bearded Collie,Sheep herding,Herding,12,14,"Self-confidence, Hardy, Lively, Alert, Intelligent, Active",,A09F4c1qP,"{'id': 'A09F4c1qP', 'width': 733, 'height': 733, 'url': 'https://cdn2.thedogapi.com/images/A09F4c1qP.jpg'}",
33,80,110,36,50,24,27.5,61,70,Beauceron,"Boar herding, hunting, guarding",Herding,10,12,"Fearless, Friendly, Intelligent, Protective, Calm",,HJQ8ge5V7,"{'id': 'HJQ8ge5V7', 'width': 720, 'height': 563, 'url': 'https://cdn2.thedogapi.com/images/HJQ8ge5V7.jpg'}",
34,17,23,8,10,15,16,38,41,Bedlington Terrier,"Killing rat, badger, other vermin",Terrier,14,16,"Affectionate, Spirited, Intelligent, Good-tempered",,ByK8gx947,"{'id': 'ByK8gx947', 'width': 804, 'height': 531, 'url': 'https://cdn2.thedogapi.com/images/ByK8gx947.jpg'}",
36,40,80,18,36,22,26,56,66,Belgian Malinois,Stock herding,Herding,12,14,"Watchful, Alert, Stubborn, Friendly, Confident, Hard-working, Active, Protective",,r1f_ll5VX,"{'id': 'r1f_ll5VX', 'width': 604, 'height': 453, 'url': 'https://cdn2.thedogapi.com/images/r1f_ll5VX.jpg'}",
38,40,65,18,29,22,26,56,66,Belgian Tervuren,"Guarding, Drafting, Police work.",Herding,10,12,"Energetic, Alert, Loyal, Intelligent, Attentive, Protective",,B1KdxlcNX,"{'id': 'B1KdxlcNX', 'width': 645, 'height': 380, 'url': 'https://cdn2.thedogapi.com/images/B1KdxlcNX.jpg'}",
41,65,120,29,54,23,27.5,58,70,Bernese Mountain Dog,Draft work,Working,7,10,"Affectionate, Loyal, Intelligent, Faithful",,S1fFlx5Em,"{'id': 'S1fFlx5Em', 'width': 640, 'height': 427, 'url': 'https://cdn2.thedogapi.com/images/S1fFlx5Em.jpg'}",
42,10,18,5,8,9.5,11.5,24,29,Bichon Frise,Companion,Non-Sporting,15,15,"Feisty, Affectionate, Cheerful, Playful, Gentle, Sensitive",,HkuYlxqEQ,"{'id': 'HkuYlxqEQ', 'width': 480, 'height': 360, 'url': 'https://cdn2.thedogapi.com/images/HkuYlxqEQ.jpg'}",
43,65,100,29,45,23,27,58,69,Black and Tan Coonhound,"Hunting raccoons, night hunting",Hound,10,12,"Easygoing, Gentle, Adaptable, Trusting, Even Tempered, Lovable",,HJAFgxcNQ,"{'id': 'HJAFgxcNQ', 'width': 556, 'height': 380, 'url': 'https://cdn2.thedogapi.com/images/HJAFgxcNQ.jpg'}",
45,80,110,36,50,23,27,58,69,Bloodhound,Trailing,Hound,8,10,"Stubborn, Affectionate, Gentle, Even Tempered",,Skdcgx9VX,"{'id': 'Skdcgx9VX', 'width': 586, 'height': 600, 'url': 'https://cdn2.thedogapi.com/images/Skdcgx9VX.jpg'}",
47,45,80,20,36,21,27,53,69,Bluetick Coonhound,Hunting with a superior sense of smell.,Hound,12,14,"Friendly, Intelligent, Active",,rJxieg9VQ,"{'id': 'rJxieg9VQ', 'width': 731, 'height': 599, 'url': 'https://cdn2.thedogapi.com/images/rJxieg9VQ.jpg'}",
48,110,200,50,91,22,27,56,69,Boerboel,"Guarding the homestead, farm work.",Working,10,12,"Obedient, Confident, Intelligent, Dominant, Territorial",,HyOjge5Vm,"{'id': 'HyOjge5Vm', 'width': 1200, 'height': 669, 'url': 'https://cdn2.thedogapi.com/images/HyOjge5Vm.jpg'}",
50,30,45,14,20,18,22,46,56,Border Collie,Sheep herder,Herding,12,16,"Tenacious, Keen, Energetic, Responsive, Alert, Intelligent",,sGQvQUpsp,"{'id': 'sGQvQUpsp', 'width': 1080, 'height': 1080, 'url': 'https://cdn2.thedogapi.com/images/sGQvQUpsp.jpg'}",
51,11.5,15.5,5,7,11,16,28,41,Border Terrier,"Fox bolting, ratting",Terrier,12,14,"Fearless, Affectionate, Alert, Obedient, Intelligent, Even Tempered",,HJOpge9Em,"{'id': 'HJOpge9Em', 'width': 674, 'height': 450, 'url': 'https://cdn2.thedogapi.com/images/HJOpge9Em.jpg'}",
53,10,25,5,11,16,17,41,43,Boston Terrier,"Ratting, Companionship",Non-Sporting,11,13,"Friendly, Lively, Intelligent",,rkZRggqVX,"{'id': 'rkZRggqVX', 'width': 1010, 'height': 673, 'url': 'https://cdn2.thedogapi.com/images/rkZRggqVX.jpg'}",
54,70,110,32,50,23.5,27.5,60,70,Bouvier des Flandres,Cattle herding,Herding,10,15,"Protective, Loyal, Gentle, Intelligent, Familial, Rational",,Byd0xl5VX,"{'id': 'Byd0xl5VX', 'width': 680, 'height': 454, 'url': 'https://cdn2.thedogapi.com/images/Byd0xl5VX.jpg'}",
55,50,70,23,32,21.5,25,55,64,Boxer,"Bull-baiting, guardian",Working,8,10,"Devoted, Fearless, Friendly, Cheerful, Energetic, Loyal, Playful, Confident, Intelligent, Bright, Brave, Calm",,ry1kWe5VQ,"{'id': 'ry1kWe5VQ', 'width': 645, 'height': 430, 'url': 'https://cdn2.thedogapi.com/images/ry1kWe5VQ.jpg'}",
56,25,40,11,18,14,18,36,46,Boykin Spaniel,Turkey retrieving,Sporting,10,14,"Friendly, Energetic, Companionable, Intelligent, Eager, Trainable",,ryHJZlcNX,"{'id': 'ryHJZlcNX', 'width': 577, 'height': 634, 'url': 'https://cdn2.thedogapi.com/images/ryHJZlcNX.jpg'}",
57,55,88,25,40,21.5,26.5,55,67,Bracco Italiano,Versatile gun dog,Sporting,10,12,"Stubborn, Affectionate, Loyal, Playful, Companionable, Trainable",,S13yZg5VQ,"{'id': 'S13yZg5VQ', 'width': 750, 'height': 505, 'url': 'https://cdn2.thedogapi.com/images/S13yZg5VQ.jpg'}",
58,70,90,32,41,22,27,56,69,Briard,"Herding, guarding sheep",Herding,10,12,"Fearless, Loyal, Obedient, Intelligent, Faithful, Protective",,rkVlblcEQ,"{'id': 'rkVlblcEQ', 'width': 768, 'height': 576, 'url': 'https://cdn2.thedogapi.com/images/rkVlblcEQ.jpg'}",
59,30,45,14,20,17.5,20.5,44,52,Brittany,"Pointing, retrieving",Sporting,12,14,"Agile, Adaptable, Quick, Intelligent, Attentive, Happy",,HJWZZxc4X,"{'id': 'HJWZZxc4X', 'width': 900, 'height': 600, 'url': 'https://cdn2.thedogapi.com/images/HJWZZxc4X.jpg'}",
61,50,70,23,32,21,22,53,56,Bull Terrier,"Bull baiting, Fighting",Terrier,10,12,"Trainable, Protective, Sweet-Tempered, Keen, Active",,VSraIEQGd,"{'id': 'VSraIEQGd', 'width': 1080, 'height': 1080, 'url': 'https://cdn2.thedogapi.com/images/VSraIEQGd.jpg'}",
62,25,33,11,15,10,14,25,36,Bull Terrier (Miniature),An elegant man's fashion statement,,11,14,"Trainable, Protective, Sweet-Tempered, Keen, Active, Territorial",,BkKZWlcVX,"{'id': 'BkKZWlcVX', 'width': 674, 'height': 450, 'url': 'https://cdn2.thedogapi.com/images/BkKZWlcVX.jpg'}",
64,100,130,45,59,24,27,61,69,Bullmastiff,Estate guardian,Working,8,12,"Docile, Reliable, Devoted, Alert, Loyal, Reserved, Loving, Protective, Powerful, Calm, Courageous",,r1ifZl5E7,"{'id': 'r1ifZl5E7', 'width': 850, 'height': 638, 'url': 'https://cdn2.thedogapi.com/images/r1ifZl5E7.jpg'}",
65,13,14,6,6,9,10,23,25,Cairn Terrier,"Bolting of otter, foxes, other vermin",Terrier,14,15,"Hardy, Fearless, Assertive, Gay, Intelligent, Active",,Sk7Qbg9E7,"{'id': 'Sk7Qbg9E7', 'width': 1254, 'height': 836, 'url': 'https://cdn2.thedogapi.com/images/Sk7Qbg9E7.jpg'}",
67,88,120,40,54,23.5,27.5,60,70,Cane Corso,"Companion, guard dog, and hunter",Working,10,11,"Trainable, Reserved, Stable, Quiet, Even Tempered, Calm",,r15m-lc4m,"{'id': 'r15m-lc4m', 'width': 645, 'height': 380, 'url': 'https://cdn2.thedogapi.com/images/r15m-lc4m.jpg'}",
68,25,38,11,17,10.5,12.5,27,32,Cardigan Welsh Corgi,Cattle droving,Herding,12,14,"Affectionate, Devoted, Alert, Companionable, Intelligent, Active",,SyXN-e9NX,"{'id': 'SyXN-e9NX', 'width': 800, 'height': 600, 'url': 'https://cdn2.thedogapi.com/images/SyXN-e9NX.jpg'}",
69,50,95,23,43,20,26,51,66,Catahoula Leopard Dog,Driving livestock,Herding,10,12,"Energetic, Inquisitive, Independent, Gentle, Intelligent, Loving",,BJcNbec4X,"{'id': 'BJcNbec4X', 'width': 650, 'height': 650, 'url': 'https://cdn2.thedogapi.com/images/BJcNbec4X.jpg'}",
70,80,100,36,45,24,33.5,61,85,Caucasian Shepherd (Ovcharka),"Guard dogs, defending sheep from predators, mainly wolves, jackals and bears",Working,10,12,"Alert, Quick, Dominant, Powerful, Calm, Strong",,r1rrWe5Em,"{'id': 'r1rrWe5Em', 'width': 1024, 'height': 682, 'url': 'https://cdn2.thedogapi.com/images/r1rrWe5Em.jpg'}",
71,13,18,6,8,12,13,30,33,Cavalier King Charles Spaniel,"Flushing small birds, companion",Toy,10,14,"Fearless, Affectionate, Sociable, Patient, Playful, Adaptable",,HJRBbe94Q,"{'id': 'HJRBbe94Q', 'width': 961, 'height': 558, 'url': 'https://cdn2.thedogapi.com/images/HJRBbe94Q.jpg'}",
76,55,80,25,36,21,26,53,66,Chesapeake Bay Retriever,Water Retriever,Sporting,10,13,"Affectionate, Intelligent, Quiet, Dominant, Happy, Protective",,9BXwUeCc2,"{'id': '9BXwUeCc2', 'width': 600, 'height': 600, 'url': 'https://cdn2.thedogapi.com/images/9BXwUeCc2.jpg'}",
78,10,13,5,6,11,13,28,33,Chinese Crested,"Ratting, lapdog, curio",Toy,10,14,"Affectionate, Sweet-Tempered, Lively, Alert, Playful, Happy",,B1pDZx9Nm,"{'id': 'B1pDZx9Nm', 'width': 1200, 'height': 798, 'url': 'https://cdn2.thedogapi.com/images/B1pDZx9Nm.jpg'}",
79,45,60,20,27,18,20,46,51,Chinese Shar-Pei,Fighting,Non-Sporting,10,10,"Suspicious, Affectionate, Devoted, Reserved, Independent, Loving",,B1ruWl94Q,"{'id': 'B1ruWl94Q', 'width': 1049, 'height': 761, 'url': 'https://cdn2.thedogapi.com/images/B1ruWl94Q.jpg'}",
80,50,90,23,41,22,26,56,66,Chinook,Sled pulling,Working,12,15,"Friendly, Alert, Dignified, Intelligent, Calm",,Sypubg54Q,"{'id': 'Sypubg54Q', 'width': 600, 'height': 478, 'url': 'https://cdn2.thedogapi.com/images/Sypubg54Q.jpg'}",
81,40,70,18,32,17,20,43,51,Chow Chow,"Guardian, cart pulling, hunting",Non-Sporting,12,15,"Aloof, Loyal, Independent, Quiet",,ry8KWgqEQ,"{'id': 'ry8KWgqEQ', 'width': 1010, 'height': 673, 'url': 'https://cdn2.thedogapi.com/images/ry8KWgqEQ.jpg'}",
84,55,85,25,39,17,20,43,51,Clumber Spaniel,"Bird flushing, retrieving",Sporting,10,12,"Affectionate, Loyal, Dignified, Gentle, Calm, Great-hearted",,rkeqWgq4Q,"{'id': 'rkeqWgq4Q', 'width': 762, 'height': 533, 'url': 'https://cdn2.thedogapi.com/images/rkeqWgq4Q.jpg'}",
86,20,30,9,14,14,15,36,38,Cocker Spaniel,"Bird flushing, retrieving",Sporting,12,15,"Trainable, Friendly, Affectionate, Playful, Quiet, Faithful",,1lFmrzECl,"{'id': '1lFmrzECl', 'width': 1080, 'height': 1080, 'url': 'https://cdn2.thedogapi.com/images/1lFmrzECl.jpg'}",
87,20,30,9,14,14,15,36,38,Cocker Spaniel (American),Hunting the American woodcock,Sporting,12,15,"Outgoing, Sociable, Trusting, Joyful, Even Tempered, Merry",,HkRcZe547,"{'id': 'HkRcZe547', 'width': 1024, 'height': 640, 'url': 'https://cdn2.thedogapi.com/images/HkRcZe547.jpg'}",
89,9,15,4,7,9,11,23,28,Coton de Tulear,"Accompanying ladies on long sea voyages, ratters onboard ship.",Non-Sporting,13,16,"Affectionate, Lively, Playful, Intelligent, Trainable, Vocal",,SyviZlqNm,"{'id': 'SyviZlqNm', 'width': 2464, 'height': 1638, 'url': 'https://cdn2.thedogapi.com/images/SyviZlqNm.jpg'}",
92,50,55,23,25,19,23,48,58,Dalmatian,Carriage dog - trot alongside carriages to protect the occupants from banditry or other interference,Non-Sporting,10,13,"Outgoing, Friendly, Energetic, Playful, Sensitive, Intelligent, Active",,SkJ3blcN7,"{'id': 'SkJ3blcN7', 'width': 1200, 'height': 800, 'url': 'https://cdn2.thedogapi.com/images/SkJ3blcN7.jpg'}",
94,66,88,30,40,24,28,61,71,Doberman Pinscher,Guardian,Working,10,10,"Fearless, Energetic, Alert, Loyal, Obedient, Confident, Intelligent",,HyL3bl94Q,"{'id': 'HyL3bl94Q', 'width': 1140, 'height': 640, 'url': 'https://cdn2.thedogapi.com/images/HyL3bl94Q.jpg'}",
95,80,100,36,45,23.5,27,60,69,Dogo Argentino,Big-game hunting,Working,10,12,"Friendly, Affectionate, Cheerful, Loyal, Tolerant, Protective",,S1nhWx94Q,"{'id': 'S1nhWx94Q', 'width': 650, 'height': 467, 'url': 'https://cdn2.thedogapi.com/images/S1nhWx94Q.jpg'}",
98,50,70,23,32,22,24.5,56,62,Dutch Shepherd,"Farms, watchdog, guard duty",,15,15,"Reliable, Affectionate, Alert, Loyal, Obedient, Trainable",,BkE6Wg5E7,"{'id': 'BkE6Wg5E7', 'width': 856, 'height': 511, 'url': 'https://cdn2.thedogapi.com/images/BkE6Wg5E7.jpg'}",
101,45,80,20,36,24,25,61,64,English Setter,"Bird setting, retrieving",Sporting,12,12,"Strong Willed, Mischievous, Affectionate, Energetic, Playful, Companionable, Gentle, Hard-working, Intelligent, Eager, People-Oriented",,By4A-eqVX,"{'id': 'By4A-eqVX', 'width': 1024, 'height': 683, 'url': 'https://cdn2.thedogapi.com/images/By4A-eqVX.jpg'}",
102,44,66,20,30,18,23,46,58,English Shepherd,"Herding & guarding livestock, farm watch dog",Working,10,13,"Kind, Energetic, Independent, Adaptable, Intelligent, Bossy",,H1QyMe5EQ,"{'id': 'H1QyMe5EQ', 'width': 1920, 'height': 1280, 'url': 'https://cdn2.thedogapi.com/images/H1QyMe5EQ.jpg'}",
103,35,50,16,23,19,20,48,51,English Springer Spaniel,"Bird flushing, retrieving",Sporting,12,14,"Affectionate, Cheerful, Alert, Intelligent, Attentive, Active",,Hk0Jfe5VQ,"{'id': 'Hk0Jfe5VQ', 'width': 1440, 'height': 1080, 'url': 'https://cdn2.thedogapi.com/images/Hk0Jfe5VQ.jpg'}",
104,8,14,4,6,10,10,25,25,English Toy Spaniel,Companion of kings,Toy,10,12,"Affectionate, Reserved, Playful, Gentle, Happy, Loving",,SkIgzxqNQ,"{'id': 'SkIgzxqNQ', 'width': 800, 'height': 696, 'url': 'https://cdn2.thedogapi.com/images/SkIgzxqNQ.jpg'}",
105,6,8,3,4,10,12,25,30,English Toy Terrier,Rat-baiting,,12,13,"Stubborn, Alert, Companionable, Intelligent, Cunning, Trainable",,SJ6eMxqEQ,"{'id': 'SJ6eMxqEQ', 'width': 645, 'height': 430, 'url': 'https://cdn2.thedogapi.com/images/SJ6eMxqEQ.jpg'}",
107,40,70,18,32,20.5,23.5,52,60,Eurasier,Companionship,Non-Sporting,12,14,"Alert, Reserved, Intelligent, Even Tempered, Watchful, Calm",,S1VWGx9Nm,"{'id': 'S1VWGx9Nm', 'width': 800, 'height': 532, 'url': 'https://cdn2.thedogapi.com/images/S1VWGx9Nm.jpg'}",
108,35,50,16,23,17,18,43,46,Field Spaniel,"Bird flushing, retrieving",Sporting,11,15,"Docile, Cautious, Sociable, Sensitive, Adaptable, Familial",,SkJfGecE7,"{'id': 'SkJfGecE7', 'width': 1280, 'height': 906, 'url': 'https://cdn2.thedogapi.com/images/SkJfGecE7.jpg'}",
110,33,53,15,24,16,21,41,53,Finnish Lapphund,Herding reindeer,Herding,12,15,"Friendly, Keen, Faithful, Calm, Courageous",,S1KMGg5Vm,"{'id': 'S1KMGg5Vm', 'width': 1066, 'height': 800, 'url': 'https://cdn2.thedogapi.com/images/S1KMGg5Vm.jpg'}",
111,23,28,10,13,15.5,20,39,51,Finnish Spitz,"Hunting birds, small mammals",Non-Sporting,12,15,"Playful, Loyal, Independent, Intelligent, Happy, Vocal",,3PjHlQbkV,"{'id': '3PjHlQbkV', 'width': 500, 'height': 417, 'url': 'https://cdn2.thedogapi.com/images/3PjHlQbkV.jpg'}",
113,28,28,13,13,11,12,28,30,French Bulldog,Lapdog,Non-Sporting,9,11,"Playful, Affectionate, Keen, Sociable, Lively, Alert, Easygoing, Patient, Athletic, Bright",,HyWNfxc47,"{'id': 'HyWNfxc47', 'width': 740, 'height': 430, 'url': 'https://cdn2.thedogapi.com/images/HyWNfxc47.jpg'}",
114,25,45,11,20,17,20,43,51,German Pinscher,"Watchdog, Hunting vermin on the farm.",Working,12,14,"Spirited, Lively, Intelligent, Loving, Even Tempered, Familial",,B1u4zgqE7,"{'id': 'B1u4zgqE7', 'width': 740, 'height': 480, 'url': 'https://cdn2.thedogapi.com/images/B1u4zgqE7.jpg'}",
115,50,90,23,41,22,26,56,66,German Shepherd Dog,"Herding, Guard dog",Herding,10,13,"Alert, Loyal, Obedient, Curious, Confident, Intelligent, Watchful, Courageous",,SJyBfg5NX,"{'id': 'SJyBfg5NX', 'width': 600, 'height': 425, 'url': 'https://cdn2.thedogapi.com/images/SJyBfg5NX.jpg'}",
116,45,70,20,32,21,25,53,64,German Shorthaired Pointer,General hunting,Sporting,12,14,"Boisterous, Bold, Affectionate, Intelligent, Cooperative, Trainable",,SJqBMg5Nm,"{'id': 'SJqBMg5Nm', 'width': 1395, 'height': 1230, 'url': 'https://cdn2.thedogapi.com/images/SJqBMg5Nm.jpg'}",
119,65,90,29,41,23.5,27.5,60,70,Giant Schnauzer,"Herding, guarding",Working,10,12,"Strong Willed, Kind, Loyal, Intelligent, Dominant, Powerful",,H1NIzlcV7,"{'id': 'H1NIzlcV7', 'width': 900, 'height': 600, 'url': 'https://cdn2.thedogapi.com/images/H1NIzlcV7.jpg'}",
